language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
kamb1297,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
kamb1297,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
kamb1297,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
dhai1238,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,o,-,-
temi1247,-,-,-,e,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-
moch1256,-,i,h,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,o,-,-
vunj1238,m,y,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,u,-,-
vunj1238,-,y,-,e,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,o,-,-
vunj1238,-,y,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,o,-,-
romb1244,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,o,-,-
romb1244,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,o,-,-
romb1244,m,w,-,e,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-
mach1266,m,w,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,u,-,-
mach1266,m,w,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-
mach1266,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-
gwen1239,-,-,-,i,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,x,-,-,-,-,o,-,-
kahe1238,-,-,-,i,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,o,-,-
maor1244,-,-,-,-,-,-,-,d,-,z,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
ndzw1235,-,-,-,-,-,-,-,d,-,z,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
ngaz1238,-,-,-,-,-,-,-,d,-,z,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
nyan1308,-,-,-,-,-,-,-,d,-,-,-,-,z,-,-,-,-,-,i,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kund1255,-,-,-,-,-,-,-,d,-,-,-,-,z,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
tumb1250,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
shon1251,-,-,-,-,-,-,-,z,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
kala1384,-,-,-,-,-,-,-,z,-,-,-,-,h,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
vend1245,-,-,-,-,-,-,-,l,-,-,-,-,h,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,h,-,-,o,-,-
luya1241,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,y,-,o,-,o,o,-,-
nkoy1244,y,e,w,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
taab1238,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
bemb1257,-,-,-,i,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
lala1264,-,i,-,i,-,-,-,l,-,-,-,-,i,-,i,-,-,-,i,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
lamb1271,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kaon1241,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
lenj1248,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
soli1239,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
tong1318,-,i,-,i,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
luba1250,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
hemb1242,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
sang1331,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
song1303,-,-,-,-,-,-,-,e,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
luba1249,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,u,-,-,u,-,-
enya1247,-,-,-,-,-,-,-,l,i,i,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
song1300,-,-,-,-,-,-,-,l,i,i,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,y,o,-,-,o,-,-
holo1240,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
diri1252,-,-,-,-,-,-,-,Z,-,-,-,-,e,-,-,-,-,-,-,e,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
buku1249,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
mitu1240,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
lega1249,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
nyan1304,-,-,-,-,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
nyan1304,-,-,-,-,-,-,-,r,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
amba1263,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,n,-,-,-,-,u,-,-
lozi1239,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
tswa1253,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
tswa1255,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
tson1249,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
xhos1239,-,-,-,i,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
zulu1248,-,-,-,i,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
