language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
hang1260,-,-,u,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
rund1242,-,-,u,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
haaa1252,-,-,u,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
vinz1238,-,-,u,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
soga1242,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gwer1238,-,-,-,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gand1255,-,k,a,-,-,-,m,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
suba1238,-,-,u,-,-,-,m,-,-,-,u,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kuri1259,-,-,u,-,-,-,m,-,-,-,u,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kuri1259,-,-,u,-,-,-,m,-,-,-,u,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kuri1259,-,-,u,-,-,-,m,-,-,-,u,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ngur1263,-,-,o,-,-,-,m,-,-,-,o,-,n,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ikiz1238,-,-,o,-,-,-,m,-,-,-,u,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ikiz1238,-,-,u,-,-,-,m,-,-,-,u,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
zana1238,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ikom1245,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gusi1247,-,-,o,-,-,-,m,-,-,-,o,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
jita1239,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kway1241,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kara1481,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
saam1283,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
saam1283,-,-,-,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
logo1258,-,-,-,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
masa1299,-,k,u,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
shii1238,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-
chuk1274,-,-,-,-,-,-,m,-,-,-,u,-,r,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
thar1283,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,a,-,-,-,5,-,-,-,-,-,u,-,-,-,-,-,a,-,-,-,-
mwim1241,-,k,a,a,-,-,5,-,-,-,u,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mwim1241,-,k,a,a,-,-,5,-,-,-,u,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
meru1245,-,-,-,-,-,-,m,-,-,-,u,-,r,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
meru1245,-,k,a,a,-,-,5,-,-,-,u,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
meru1245,-,-,-,-,-,-,m,-,-,-,u,-,r,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
meru1245,-,-,-,-,-,-,m,-,-,-,u,-,r,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
meru1245,-,k,a,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
meru1245,-,-,-,-,-,-,m,-,-,-,u,-,r,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
meru1245,-,k,a,a,-,-,5,-,-,-,u,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
embu1241,-,k,a,a,-,-,5,-,-,-,u,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
embu1241,-,k,a,a,-,-,5,-,-,-,u,-,-,-,-,-,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kiku1240,-,k,a,-,-,-,n,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kamb1297,-,k,a,-,-,-,5,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
